Timestamp,Age,Male,Introvert,Continent,Area Income,Daily Internet Usage,Daily Time Spent on Site,Ad Location,Ad Category,Clicked on Ad
2016-03-02 04:02:45,29,1,0,Africa,54787.37,120.46,63.26,Push Notif,Finance,1
2016-01-05 11:53:17,52,0,1,Europe,41521.28,122.59,71.23,Pop Up,Finance,1
2016-05-25 19:45:16,38,1,1,Asia,61757.12,135.25,43.63,Upper Banner,Finance,1
2016-02-03 16:54:33,49,0,0,Asia,67323.0,182.11,42.04,Pop Up,Finance,1
2016-01-16 16:40:30,29,0,0,Asia,66225.72,208.05,78.68,Pop Up,Food,0
2016-03-19 08:00:58,34,0,0,Asia,51816.27,153.01,87.85,Push Notif,Fashion,0
2016-04-09 23:26:42,27,1,1,Africa,52261.73,191.78,85.77,Lower Banner,Games,0
2016-06-09 17:11:02,44,1,1,Asia,49525.37,106.04,59.13,Push Notif,Finance,1
2016-04-05 18:02:49,43,1,0,Asia,54251.78,244.4,83.17,Upper Banner,Finance,0
2016-05-13 06:09:28,36,0,0,Antarctica,41229.16,140.46,38.37,Lower Banner,Fashion,1
2016-05-30 08:35:54,30,1,1,North America,50356.06,241.38,79.89,Pop Up,Games,0
2016-01-05 04:18:46,35,1,1,Europe,57009.76,120.06,49.81,Lower Banner,Food,1
2016-07-01 01:12:04,49,0,1,Europe,46931.03,110.84,59.36,Upper Banner,Finance,1
2016-02-27 20:20:25,28,0,0,South America,63528.8,203.3,80.87,Pop Up,Fashion,0
2016-02-12 03:39:09,38,0,1,Africa,40159.2,190.05,32.6,Lower Banner,Food,1
2016-04-29 14:08:26,45,0,1,South America,46197.59,151.72,35.66,Push Notif,Finance,1
2016-01-05 00:02:53,52,0,0,South America,32847.53,144.27,46.37,Push Notif,Finance,1
2016-05-23 00:32:54,42,0,1,Africa,67575.12,158.81,41.53,Lower Banner,Finance,1
2016-04-29 13:38:19,31,0,1,South America,74159.69,190.84,72.94,Lower Banner,Food,0
2016-04-12 14:01:08,44,0,0,Europe,44174.25,105.0,62.06,Pop Up,Finance,1
2016-06-26 17:25:55,35,1,1,Africa,70495.64,229.99,73.89,Push Notif,Food,0
2016-06-23 01:22:43,48,0,0,Africa,70053.27,137.43,63.36,Upper Banner,Finance,1
2016-07-03 04:11:40,45,1,0,North America,41417.27,151.47,36.08,Push Notif,Finance,1
2016-04-06 05:55:43,21,1,1,Asia,60637.62,198.45,59.61,Lower Banner,Games,0
2016-07-03 12:57:03,28,1,0,Oceania,65172.22,217.85,76.81,Lower Banner,Food,0
2016-03-16 07:59:37,45,1,0,Europe,40183.75,133.9,40.42,Upper Banner,Finance,1
2016-06-01 09:27:34,23,1,1,Europe,51864.77,235.28,63.6,Push Notif,Games,0
2016-04-06 17:26:37,28,1,0,Oceania,59967.19,232.68,76.44,Lower Banner,Food,0
2016-06-26 02:34:15,43,0,1,Asia,53647.81,121.28,45.62,Push Notif,Finance,1
2016-05-24 09:50:41,31,1,1,Europe,51812.71,154.77,38.65,Upper Banner,Fashion,1
2016-05-11 22:02:17,25,0,1,Asia,39699.13,199.39,81.58,Upper Banner,Finance,0
2016-04-18 11:23:05,38,1,1,Asia,70575.6,146.19,75.8,Push Notif,Finance,0
2016-06-14 19:48:34,31,1,0,Oceania,52178.98,210.27,87.85,Pop Up,Games,0
2016-06-12 21:21:53,37,0,0,Asia,70232.95,132.63,58.35,Upper Banner,Fashion,1
2016-01-28 07:10:29,50,0,1,Oceania,45400.5,113.7,58.6,Pop Up,Finance,1
2016-01-16 08:01:40,31,1,1,Oceania,73049.3,201.26,73.41,Lower Banner,Travel,0
2016-05-22 15:17:25,28,1,1,Europe,67301.39,216.24,73.27,Pop Up,Food,0
2016-01-22 19:43:53,25,1,1,Africa,66429.84,164.25,56.16,Pop Up,Games,1
2016-07-22 07:44:43,38,0,1,Africa,24078.93,203.9,40.47,Upper Banner,Fashion,1
2016-05-26 22:49:47,41,0,0,Asia,24852.9,156.36,41.82,Lower Banner,Finance,1
2016-02-26 09:54:33,25,0,0,Europe,65421.39,220.92,67.05,Lower Banner,Fashion,0
2016-04-19 15:14:58,36,1,0,Asia,22473.08,154.02,45.72,Upper Banner,Food,1
2016-02-19 07:29:30,22,0,0,Asia,41851.38,169.4,75.55,Lower Banner,Fashion,1
2016-02-28 23:54:44,40,1,1,Europe,44217.68,126.11,41.88,Push Notif,Finance,1
2016-03-18 16:04:59,25,1,0,Africa,60843.32,231.49,65.8,Lower Banner,Food,0
2016-03-21 21:15:54,32,1,0,South America,50216.01,177.78,89.34,Lower Banner,Fashion,0
2016-05-03 01:09:01,51,1,1,South America,71455.62,153.12,59.64,Upper Banner,Finance,1
